%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts
-11, -1221.61, 138.58, -2929.69, -4748.43, -739.31, -5561.52, 59.57, -4063.32
-10, -1229.12, 151.63, -2957.38, -4782.07, -738.99, -5600.45, 62.54, -4096.45
-9, -1243.09, 155.08, -2980.76, -4828.83, -748.18, -5655.33, 63.01, -4131.16
-8, -1246.33, 162.45, -3006.38, -4866.78, -743.49, -5697.15, 69.31, -4158.97
-7, -1261.98, 153.09, -3039.12, -4911.55, -750.73, -5747.82, 64.84, -4195.40
-6, -1277.80, 140.28, -3060.04, -4945.55, -758.13, -5790.62, 68.60, -4226.76
-5, -1289.09, 140.61, -3088.90, -4985.40, -767.72, -5835.97, 66.59, -4261.16
-4, -1289.02, 146.47, -3105.86, -5019.73, -774.76, -5883.94, 66.59, -4293.57
-3, -1305.07, 149.78, -3127.17, -5047.54, -774.67, -5913.35, 72.44, -4315.54
-2, -1317.59, 141.91, -3138.68, -5082.52, -778.85, -5955.29, 76.67, -4344.13
-1, -1323.98, 148.15, -3162.03, -5103.93, -774.11, -5980.01, 80.60, -4361.47
0, -1336.72, 139.41, -3180.65, -5141.06, -788.41, -6017.69, 73.20, -4393.61
-29, -1334.58, 148.06, -3201.57, -5163.52, -784.21, -6042.88, 74.81, -4411.29
-28, -1334.56, 158.85, -3203.88, -5194.84, -794.16, -6082.53, 75.39, -4437.69
-27, -1329.82, 169.09, -3217.91, -5205.18, -778.89, -6092.64, 88.00, -4441.54
-26, -1342.47, 155.05, -3226.18, -5240.79, -789.93, -6130.35, 88.96, -4467.64
-25, -1352.77, 150.34, -3247.22, -5248.79, -784.50, -6143.73, 94.66, -4476.18
-24, -1365.20, 141.80, -3258.93, -5284.87, -805.85, -6187.59, 81.27, -4508.01
-23, -1370.59, 150.34, -3277.35, -5291.51, -796.35, -6196.71, 87.64, -4511.36
-22, -1392.76, 144.46, -3278.89, -5320.72, -810.54, -6228.83, 81.25, -4539.28
-21, -1374.43, 166.25, -3285.17, -5319.11, -793.78, -6230.06, 97.34, -4538.32
-20, -1383.77, 154.70, -3300.32, -5347.10, -809.69, -6262.60, 90.82, -4561.54
-19, -1377.67, 153.27, -3314.38, -5360.15, -800.68, -6272.17, 97.23, -4568.36
-18, -1382.90, 142.51, -3318.81, -5385.92, -816.00, -6297.69, 90.48, -4587.69
-17, -1383.73, 150.45, -3324.13, -5384.76, -800.48, -6290.74, 101.88, -4580.97
-16, -1397.48, 148.95, -3325.09, -5403.40, -803.59, -6308.69, 102.84, -4593.60
-15, -1383.28, 161.85, -3325.98, -5397.36, -790.51, -6303.08, 113.17, -4590.24
-14, -1393.45, 159.95, -3334.97, -5408.90, -800.46, -6318.52, 108.41, -4602.69
-13, -1385.72, 162.09, -3342.52, -5412.85, -801.44, -6321.52, 109.90, -4604.24
-12, -1395.04, 151.50, -3347.78, -5425.13, -811.68, -6332.23, 111.16, -4614.85
-11, -1406.48, 147.52, -3361.01, -5431.45, -816.46, -6343.02, 104.54, -4622.54
-10, -1401.61, 152.64, -3355.33, -5439.56, -814.27, -6353.04, 109.34, -4627.50
-9, -1395.67, 153.67, -3356.74, -5432.90, -804.71, -6348.59, 111.65, -4625.83
-8, -1395.62, 152.86, -3350.26, -5439.30, -804.91, -6352.79, 112.38, -4628.62
-7, -1394.41, 158.36, -3359.91, -5438.25, -803.79, -6350.64, 112.70, -4623.23
-6, -1398.03, 149.80, -3354.80, -5444.39, -813.60, -6360.68, 104.99, -4636.53
-5, -1400.58, 154.50, -3360.09, -5436.82, -804.28, -6349.39, 109.70, -4628.42
-4, -1410.06, 150.54, -3356.54, -5446.49, -813.47, -6359.18, 102.37, -4638.86
-3, -1394.12, 161.85, -3356.40, -5429.80, -799.99, -6352.83, 106.19, -4630.34
-2, -1396.72, 148.35, -3341.00, -5432.08, -803.68, -6351.83, 105.61, -4631.50
-1, -1395.80, 147.88, -3347.20, -5416.41, -791.56, -6335.24, 108.63, -4617.38
0, -1392.69, 153.56, -3339.51, -5409.14, -805.15, -6324.16, 100.05, -4613.78
-29, -1402.33, 152.89, -3338.57, -5418.46, -820.38, -6332.40, 87.06, -4623.28
-28, -1386.66, 170.77, -3337.90, -5399.91, -810.99, -6318.55, 93.32, -4610.16
-27, -1390.43, 160.71, -3329.11, -5404.61, -819.66, -6318.26, 87.91, -4609.26
-26, -1382.14, 159.77, -3329.74, -5380.06, -807.08, -6292.91, 95.89, -4593.53
-25, -1367.55, 165.81, -3318.65, -5362.18, -809.92, -6269.93, 98.10, -4576.03
-24, -1383.44, 152.66, -3309.71, -5357.65, -816.73, -6266.11, 94.35, -4570.77
-23, -1383.08, 154.54, -3298.36, -5334.00, -798.69, -6238.64, 105.03, -4549.34
-22, -1394.66, 143.41, -3299.36, -5333.48, -804.10, -6236.45, 98.66, -4545.76
-21, -1384.56, 148.06, -3283.69, -5320.94, -796.53, -6215.66, 105.77, -4527.90
-20, -1378.30, 150.18, -3276.88, -5310.01, -797.31, -6198.88, 103.51, -4515.88
-19, -1366.43, 151.25, -3262.21, -5294.88, -792.21, -6179.38, 108.76, -4499.99
-18, -1366.83, 147.68, -3252.36, -5278.10, -787.63, -6161.03, 109.68, -4479.83
-17, -1365.71, 143.10, -3242.01, -5264.75, -785.84, -6149.10, 107.22, -4472.00
-16, -1365.62, 131.56, -3241.02, -5246.31, -779.14, -6132.87, 105.88, -4461.16
-15, -1362.14, 131.85, -3228.75, -5243.79, -780.10, -6125.00, 100.99, -4455.17
-14, -1346.58, 146.47, -3204.97, -5185.09, -765.10, -6061.48, 101.92, -4411.21
-13, -1344.52, 144.01, -3189.26, -5177.24, -779.05, -6051.96, 93.81, -4406.91
-12, -1332.63, 143.43, -3180.70, -5145.57, -762.55, -6017.36, 106.19, -4379.04
-11, -1332.63, 129.19, -3166.19, -5138.53, -773.15, -6004.08, 100.83, -4369.88
-10, -1318.15, 139.32, -3161.36, -5111.82, -758.53, -5972.88, 104.23, -4346.25
-9, -1323.69, 128.72, -3143.97, -5104.58, -764.85, -5965.59, 100.11, -4339.57
